,genre_ids,original_language,popularity,release_date_x,movie,vote_average,vote_count,tconst,start_year,runtime_minutes,genres,id,release_date_y,production_budget,domestic_gross,worldwide_gross,total_profit,was_it_profitable_domestically
3009,[18],de,1.045,2016-01-24,wild,6.4,28,tt6383452,2018,80.0,Documentary,33,2014-12-03,15000000,37880356,52460543,37460543,True
3010,[18],de,1.045,2016-01-24,wild,6.4,28,tt7480724,2018,92.0,"Drama,Romance",33,2014-12-03,15000000,37880356,52460543,37460543,True
3011,[18],de,1.045,2016-01-24,wild,6.4,28,tt8844252,2018,60.0,Documentary,33,2014-12-03,15000000,37880356,52460543,37460543,True
3012,"[53, 80, 18, 9648]",en,10.062,2014-10-10,kill the messenger,6.6,507,tt1216491,2014,112.0,"Biography,Crime,Drama",51,2014-10-10,5000000,2450846,6656705,1656705,False
3013,"[12, 28]",en,10.059,2014-09-05,falcon rising,5.8,126,tt2295722,2014,103.0,"Action,Adventure",54,2014-09-04,4500000,11774,11774,-4488226,False
3014,"[53, 878]",en,10.032,2014-06-13,the signal,5.9,901,tt2910814,2014,97.0,"Drama,Mystery,Sci-Fi",26,2014-06-13,4000000,600896,2665322,-1334678,False
3015,"[53, 878]",en,10.032,2014-06-13,the signal,5.9,901,tt2910814,2014,97.0,"Drama,Mystery,Sci-Fi",19,2008-02-22,50000,251150,406299,356299,True
3016,[],en,0.6609999999999999,2015-07-08,the signal,7.0,2,tt2910814,2014,97.0,"Drama,Mystery,Sci-Fi",26,2014-06-13,4000000,600896,2665322,-1334678,False
3017,[],en,0.6609999999999999,2015-07-08,the signal,7.0,2,tt2910814,2014,97.0,"Drama,Mystery,Sci-Fi",19,2008-02-22,50000,251150,406299,356299,True
3018,"[37, 18]",en,9.723,2014-09-05,frontera,6.3,80,tt1914258,2010,98.0,"Action,Drama,Thriller",63,2014-09-05,2300000,59696,59696,-2240304,False
3019,"[37, 18]",en,9.723,2014-09-05,frontera,6.3,80,tt2510028,2014,103.0,"Drama,Thriller,Western",63,2014-09-05,2300000,59696,59696,-2240304,False
3020,"[37, 18]",en,9.723,2014-09-05,frontera,6.3,80,tt2657944,2013,87.0,Drama,63,2014-09-05,2300000,59696,59696,-2240304,False
3021,"[37, 18]",en,9.723,2014-09-05,frontera,6.3,80,tt8421518,2018,82.0,"Crime,Drama,Family",63,2014-09-05,2300000,59696,59696,-2240304,False
3022,[18],en,9.718,2014-04-16,heaven is for real,6.2,363,tt1929263,2014,99.0,"Biography,Drama,Family",46,2014-04-16,12000000,91386097,100916299,88916299,True
3023,"[18, 35]",en,9.681,2014-09-19,this is where i leave you,6.6,695,tt1371150,2014,103.0,"Comedy,Drama",57,2014-09-19,20000000,34296320,41296320,21296320,True
3024,"[18, 36, 10749]",en,9.647,1946-12-25,the best years of our lives,7.8,243,tt3979452,2013,87.0,Comedy,78,1946-11-21,2100000,23600000,23600000,21500000,True
